,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
309,18.0,Curule,,,,_Kentucky_Derby,2000,7,23.7
310,7.0,Captain Steve,,,,_Kentucky_Derby,2000,8,8.1
311,8.0,War Chant,,,,_Kentucky_Derby,2000,9,9.9
312,6.0,Deputy Warlock,,,,_Kentucky_Derby,2000,10,20.8
313,5.0,Trippi,,,,_Kentucky_Derby,2000,11,6.2
314,16.0,Exchange Rate,,,,_Kentucky_Derby,2000,12,59.2
315,1.0,Anees,,,,_Kentucky_Derby,2000,13,17.1
316,10.0,The Deputy,,,,_Kentucky_Derby,2000,14,4.6
317,17.0,High Yield,,,,_Kentucky_Derby,2000,15,6.2
318,4.0,Hal's Hope,,,,_Kentucky_Derby,2000,16,22.7
319,12.0,Commendable,,,,_Kentucky_Derby,2000,17,6.2
320,19.0,Ronton,,,,_Kentucky_Derby,2000,18,20.8
321,13.0,Graeme Hall,,,,_Kentucky_Derby,2000,19,46.3
322,4.0,Thunder Blitz,,,,_Kentucky_Derby,2001,4,25.4
323,17.0,Point Given,,,,_Kentucky_Derby,2001,5,1.8
324,15.0,Jamaican Rum,,,,_Kentucky_Derby,2001,6,20.2
325,9.0,A P Valentine,,,,_Kentucky_Derby,2001,7,19.9
326,6.0,Express Tour,,,,_Kentucky_Derby,2001,8,18.1
327,5.0,Fifty Stars,,,,_Kentucky_Derby,2001,9,43.6
328,12.0,Startac,,,,_Kentucky_Derby,2001,10,102.4
329,2.0,Millennium Wind,,,,_Kentucky_Derby,2001,11,9.9
330,7.0,Artic Boy,,,,_Kentucky_Derby,2001,12,101.2
331,1.0,Songandaprayer,,,,_Kentucky_Derby,2001,13,35.9
332,3.0,Balto Star,,,,_Kentucky_Derby,2001,14,8.3
333,10.0,Dollar Bill,,,,_Kentucky_Derby,2001,15,6.6
334,14.0,Keats,,,,_Kentucky_Derby,2001,16,95.0
335,11.0,Talk Is Money,,,,_Kentucky_Derby,2001,17,47.1
336,9.0,Medaglia d'Oro,,,,_Kentucky_Derby,2002,4,6.9
337,7.0,Request for Parole,,,,_Kentucky_Derby,2002,5,29.8
338,8.0,Came Home,,,,_Kentucky_Derby,2002,6,8.2
339,15.0,Harlan's Holiday,,,,_Kentucky_Derby,2002,7,6.0
340,1.0,Johannesburg,,,,_Kentucky_Derby,2002,8,8.1
341,8.0,Essence of Dubai,,,,_Kentucky_Derby,2002,9,10.0
342,16.0,Saarland,,,,_Kentucky_Derby,2002,10,6.9
343,20.0,Blue Burner,,,,_Kentucky_Derby,2002,11,24.2
344,12.0,Castle Gandolfo,,,,_Kentucky_Derby,2002,12,14.5
345,19.0,Easy Grades,,,,_Kentucky_Derby,2002,13,43.8
346,11.0,Private Emblem,,,,_Kentucky_Derby,2002,14,22.4
347,10.0,Lusty Latin,,,,_Kentucky_Derby,2002,15,22.1
348,18.0,It'sallinthechase,,,,_Kentucky_Derby,2002,16,94.5
349,6.0,Ocean Sound,,,,_Kentucky_Derby,2002,17,48.7
350,2.0,Wild Horses,,,,_Kentucky_Derby,2002,18,58.5
351,4.0,Atswhatimtalknbout,,,,_Kentucky_Derby,2003,4,8.9
352,13.0,Eye of the Tiger,,,,_Kentucky_Derby,2003,5,41.5
353,8.0,Buddy Gil,,,,_Kentucky_Derby,2003,6,7.2
354,15.0,Outta Here,,,,_Kentucky_Derby,2003,7,39.7
