,Finish,Post,Horse,Track,Year,Odds,Odds2
315,13th,19,Pro Prado,_Kentucky_Derby,2004,53.5,53.50
316,14th,16,Castledale,_Kentucky_Derby,2004,21.9,21.90
317,15th,6,Friends Lake,_Kentucky_Derby,2004,18.5,18.50
318,16th,7,Minister Eric,_Kentucky_Derby,2004,22.5,22.50
319,17th,17,Pollard's Vision,_Kentucky_Derby,2004,24,24.00
320,18th,20,Quintons Gold Rush,_Kentucky_Derby,2004,51.2,51.20
321,1st,10,Giacomo,_Kentucky_Derby,2005,50.3,50.30
322,2nd,18,Closing Argument,_Kentucky_Derby,2005,71.6,71.60
323,3rd,12,Afleet Alex,_Kentucky_Derby,2005,4.5,4.50
324,4th,17,Don't Get Mad,_Kentucky_Derby,2005,29.2,29.20
325,5th,20,Buzzard's Bay,_Kentucky_Derby,2005,46.3,46.30
326,6th,14,Wilko,_Kentucky_Derby,2005,21.7,21.70
327,7th,16,Bellamy Road,_Kentucky_Derby,2005,2.6,2.60
328,8th,2,Andromeda's Hero,_Kentucky_Derby,2005,57.3,57.30
329,9th,7,Flower Alley,_Kentucky_Derby,2005,41.3,41.30
330,10th,11,High Fly,_Kentucky_Derby,2005,7.1,7.10
331,11th,9,Greeley's Galaxy,_Kentucky_Derby,2005,21,21.00
332,12th,5,Coin Silver,_Kentucky_Derby,2005,38.6,38.60
333,13th,8,Greater Good,_Kentucky_Derby,2005,58.4,58.40
334,14th,4,Noble Causeway,_Kentucky_Derby,2005,12.3,12.30
335,15th,3,Sun King,_Kentucky_Derby,2005,15.7,15.70
336,16th,13,Spanish Chestnut,_Kentucky_Derby,2005,71,71.00
337,17th,1,Sort It Out,_Kentucky_Derby,2005,61.9,61.90
338,18th,19,Going Wild,_Kentucky_Derby,2005,59.5,59.50
339,19th,15,Bandini,_Kentucky_Derby,2005,6.8,6.80
340,20th,6,High Limit,_Kentucky_Derby,2005,22.5,22.50
341,1st,8,Barbaro,_Kentucky_Derby,2006,6.1,6.10
342,2nd,13,Bluegrass Cat,_Kentucky_Derby,2006,30,30.00
343,3rd,2,Steppenwolfer,_Kentucky_Derby,2006,16.3,16.30
344,4th,18,Brother Derek,_Kentucky_Derby,2006,24.2,24.20
345,4th,1,Jazil,_Kentucky_Derby,2006,7.7,7.70
346,6th,6,Showing Up,_Kentucky_Derby,2006,26.2,26.20
347,7th,11,Sweetnorthernsaint,_Kentucky_Derby,2006,5.5,5.50
348,8th,14,Deputy Glitters,_Kentucky_Derby,2006,60.6,60.60
349,9th,5,Point Determined,_Kentucky_Derby,2006,9.4,9.40
350,10th,15,Seaside Retreat,_Kentucky_Derby,2006,52.5,52.50
351,11th,19,Storm Treasure,_Kentucky_Derby,2006,51.9,51.90
352,12th,17,Lawyer Ron,_Kentucky_Derby,2006,10.2,10.20
353,13th,16,Cause to Believe,_Kentucky_Derby,2006,25.9,25.90
354,14th,20,Flashy Bull,_Kentucky_Derby,2006,43,43.00
355,15th,12,Private Vow,_Kentucky_Derby,2006,40.5,40.50
356,16th,4,Sinister Minister,_Kentucky_Derby,2006,9.7,9.70
357,17th,7,Bob and John,_Kentucky_Derby,2006,12.9,12.90
358,18th,10,A.P. Warrior,_Kentucky_Derby,2006,14.1,14.10
359,19th,9,Sharp Humor,_Kentucky_Derby,2006,30.1,30.10
360,20th,3,Keyed Entry,_Kentucky_Derby,2006,28.8,28.80
361,1st,7,Street Sense,_Kentucky_Derby,2007,4.9,4.90
362,2nd,8,Hard Spun,_Kentucky_Derby,2007,10,10.00
363,3rd,2,Curlin,_Kentucky_Derby,2007,5,5.00
364,4th,5,Imawildandcrazyguy,_Kentucky_Derby,2007,28.9,28.90
365,5th,1,Sedgefield,_Kentucky_Derby,2007,58.6,58.60
